event_ts,account_id,action,instance_id,region
2025-08-01 00:22:00,A100197,RUN_INSTANCES,i-95563757,eu-west-1
2025-08-01 00:48:00,A100197,RUN_INSTANCES,i-10458233,us-east-1
2025-08-01 01:00:00,A100087,RUN_INSTANCES,i-65880153,eu-central-1
2025-08-01 01:21:00,A100197,CREATE_SECURITY_GROUP,,eu-central-1
2025-08-01 01:40:00,A100047,CREATE_KEY_PAIR,,eu-central-1
2025-08-01 01:43:00,A100211,CREATE_KEY_PAIR,,ap-south-1
2025-08-01 01:59:00,A100006,TERMINATE_INSTANCES,i-41902492,eu-west-1
2025-08-01 02:30:00,A100134,TERMINATE_INSTANCES,i-54914426,eu-central-1
2025-08-01 04:17:00,A100078,RUN_INSTANCES,i-66657933,us-east-1
2025-08-01 04:40:00,A100211,TERMINATE_INSTANCES,i-71777126,eu-north-1
2025-08-01 06:17:00,A100141,RUN_INSTANCES,i-45152104,eu-west-1
2025-08-01 06:32:00,A100006,CREATE_KEY_PAIR,,eu-north-1
2025-08-01 07:07:00,A100197,CREATE_SECURITY_GROUP,,us-east-1
2025-08-01 08:06:00,A100170,RUN_INSTANCES,i-40802309,eu-central-1
2025-08-01 08:22:00,A100211,RUN_INSTANCES,i-82081636,eu-central-1
2025-08-01 08:43:00,A100247,TERMINATE_INSTANCES,i-27933765,eu-north-1
2025-08-01 10:18:00,A100210,TERMINATE_INSTANCES,i-66487076,eu-north-1
2025-08-01 10:33:00,A100199,RUN_INSTANCES,i-23850506,eu-west-1
2025-08-01 11:02:00,A100296,TERMINATE_INSTANCES,i-75931580,eu-north-1
2025-08-01 12:28:00,A100255,RUN_INSTANCES,i-39106319,us-east-1
2025-08-01 13:22:00,A100215,ALLOCATE_ADDRESS,,eu-west-1
2025-08-01 16:05:00,A100173,CREATE_SECURITY_GROUP,,us-west-2
2025-08-01 16:38:00,A100131,TERMINATE_INSTANCES,i-97512927,eu-central-1
2025-08-01 17:05:00,A100025,TERMINATE_INSTANCES,i-50272359,us-west-2
2025-08-01 17:30:00,A100088,CREATE_SECURITY_GROUP,,eu-north-1
2025-08-01 18:05:00,A100206,TERMINATE_INSTANCES,i-19202511,eu-west-1
2025-08-01 18:33:00,A100261,RUN_INSTANCES,i-31738786,eu-central-1
2025-08-01 19:46:00,A100199,CREATE_KEY_PAIR,,us-east-1
2025-08-01 23:26:00,A100023,RUN_INSTANCES,i-88031307,eu-north-1
2025-08-01 23:48:00,A100135,ALLOCATE_ADDRESS,,eu-west-1
2025-08-02 03:04:00,A100115,RUN_INSTANCES,i-29667139,us-west-2
2025-08-02 05:31:00,A100296,ALLOCATE_ADDRESS,,us-east-1
2025-08-02 05:57:00,A100147,TERMINATE_INSTANCES,i-78651653,eu-central-1
2025-08-02 06:06:00,A100131,RUN_INSTANCES,i-23448346,eu-west-1
2025-08-02 06:25:00,A100106,RUN_INSTANCES,i-67216630,eu-north-1
2025-08-02 07:51:00,A100084,TERMINATE_INSTANCES,i-47554943,eu-central-1
2025-08-02 08:31:00,A100079,TERMINATE_INSTANCES,i-69490049,us-west-2
2025-08-02 08:42:00,A100286,TERMINATE_INSTANCES,i-12847061,eu-central-1
2025-08-02 09:06:00,A100181,CREATE_KEY_PAIR,,eu-west-1
2025-08-02 09:12:00,A100138,RUN_INSTANCES,i-47812789,eu-west-1
2025-08-02 09:24:00,A100055,TERMINATE_INSTANCES,i-84535975,eu-central-1
2025-08-02 09:49:00,A100281,RUN_INSTANCES,i-51329897,us-east-1
2025-08-02 10:18:00,A100295,ALLOCATE_ADDRESS,,us-east-1
2025-08-02 10:40:00,A100162,CREATE_KEY_PAIR,,eu-north-1
2025-08-02 11:04:00,A100262,RUN_INSTANCES,i-19052366,eu-central-1
2025-08-02 11:31:00,A100128,RUN_INSTANCES,i-74536652,eu-north-1
2025-08-02 12:47:00,A100075,ALLOCATE_ADDRESS,,eu-north-1
2025-08-02 12:57:00,A100049,RUN_INSTANCES,i-79295803,us-east-1
2025-08-02 14:17:00,A100202,RUN_INSTANCES,i-32225321,eu-north-1
2025-08-02 14:35:00,A100213,TERMINATE_INSTANCES,i-49908121,us-east-1
2025-08-02 15:34:00,A100289,RUN_INSTANCES,i-56852205,us-west-2
2025-08-02 19:06:00,A100257,RUN_INSTANCES,i-73449535,eu-west-1
2025-08-02 19:45:00,A100156,CREATE_KEY_PAIR,,us-west-2
2025-08-02 21:33:00,A100050,TERMINATE_INSTANCES,i-22493605,eu-central-1
2025-08-02 23:00:00,A100167,CREATE_SECURITY_GROUP,,us-east-1
2025-08-03 01:23:00,A100016,ALLOCATE_ADDRESS,,eu-north-1
2025-08-03 01:57:00,A100057,TERMINATE_INSTANCES,i-68616638,us-east-1
2025-08-03 05:42:00,A100156,TERMINATE_INSTANCES,i-44918158,eu-west-1
2025-08-03 05:54:00,A100241,RUN_INSTANCES,i-13434863,eu-central-1
2025-08-03 06:16:00,A100273,RUN_INSTANCES,i-50665753,us-east-1
2025-08-03 06:45:00,A100229,RUN_INSTANCES,i-38424209,eu-north-1
2025-08-03 06:52:00,A100028,RUN_INSTANCES,i-96261755,eu-central-1
2025-08-03 08:24:00,A100083,ALLOCATE_ADDRESS,,eu-central-1
2025-08-03 09:14:00,A100083,TERMINATE_INSTANCES,i-83087975,us-east-1
2025-08-03 10:31:00,A100278,RUN_INSTANCES,i-26317535,us-east-1
2025-08-03 11:19:00,A100024,ALLOCATE_ADDRESS,,ap-northeast-1
2025-08-03 11:59:00,A100050,CREATE_KEY_PAIR,,us-west-2
2025-08-03 13:37:00,A100197,RUN_INSTANCES,i-48484613,eu-north-1
2025-08-03 14:25:00,A100039,RUN_INSTANCES,i-92619339,eu-central-1
2025-08-03 14:47:00,A100125,RUN_INSTANCES,i-76970088,eu-north-1
2025-08-03 15:12:00,A100163,RUN_INSTANCES,i-23481314,us-east-1
2025-08-03 15:58:00,A100125,CREATE_KEY_PAIR,,eu-north-1
2025-08-03 17:39:00,A100102,CREATE_SECURITY_GROUP,,eu-north-1
2025-08-03 18:32:00,A100000,ALLOCATE_ADDRESS,,us-west-2
2025-08-03 19:08:00,A100098,RUN_INSTANCES,i-33434420,eu-north-1
2025-08-03 20:06:00,A100214,CREATE_SECURITY_GROUP,,eu-west-1
2025-08-03 20:17:00,A100257,RUN_INSTANCES,i-97060606,us-west-2
2025-08-03 22:18:00,A100227,CREATE_SECURITY_GROUP,,us-west-2
2025-08-03 23:04:00,A100298,RUN_INSTANCES,i-97833998,eu-central-1
2025-08-03 23:14:00,A100152,RUN_INSTANCES,i-86070807,eu-west-1
2025-08-04 01:12:00,A100051,RUN_INSTANCES,i-76437584,eu-north-1
