payment_ts,account_id,method,amount_usd,status
2025-05-03,A100000,CARD,92.41,PAID
2025-05-18,A100000,WIRE,127.97,PAID
2025-06-02,A100000,INVOICE,163.07,PAID
2025-06-17,A100000,CARD,74.13,PAID
2025-07-02,A100000,CARD,81.12,PAID
2025-07-17,A100000,CARD,75.07,PAID
2025-08-01,A100000,CARD,202.5,PAID
2025-08-16,A100000,WIRE,118.83,PAID
2025-08-31,A100000,CARD,54.28,PAID
2025-09-15,A100000,INVOICE,157.23,PAID
2025-09-30,A100000,CARD,162.83,PAID
2025-05-03,A100001,WIRE,67.42,CHARGEBACK
2025-05-18,A100001,INVOICE,109.66,PAID
2025-06-02,A100001,WIRE,74.05,PAID
2025-06-17,A100001,CARD,181.63,CHARGEBACK
2025-07-02,A100001,CARD,91.81,PAID
2025-07-17,A100001,CARD,62.9,DECLINED
2025-08-01,A100001,CARD,146.12,PAID
2025-08-16,A100001,CARD,256.44,PAID
2025-08-31,A100001,CARD,74.82,PAID
2025-09-15,A100001,INVOICE,198.23,PAID
2025-09-30,A100001,CARD,202.68,PAID
2025-05-03,A100002,CARD,139.69,PAID
2025-05-18,A100002,CARD,162.12,PAID
2025-06-02,A100002,INVOICE,232.34,PAID
2025-06-17,A100002,INVOICE,208.65,PAID
2025-07-02,A100002,INVOICE,265.98,PAID
2025-07-17,A100002,CARD,167.15,PAID
2025-08-01,A100002,WIRE,115.54,PAID
2025-08-16,A100002,CARD,149.33,PAID
2025-08-31,A100002,INVOICE,127.11,PAID
2025-09-15,A100002,INVOICE,77.47,PAID
2025-09-30,A100002,CARD,164.33,PAID
2025-05-03,A100003,CARD,148.8,PAID
2025-05-18,A100003,CARD,117.16,PAID
2025-06-02,A100003,WIRE,153.26,PAID
2025-06-17,A100003,CARD,10.0,PAID
2025-07-02,A100003,CARD,115.98,PAID
2025-07-17,A100003,CARD,165.63,PAID
2025-08-01,A100003,INVOICE,176.65,PAID
2025-08-16,A100003,CARD,197.49,PAID
2025-08-31,A100003,CARD,70.84,PAID
2025-09-15,A100003,CARD,97.73,PAID
2025-09-30,A100003,CARD,160.77,PAID
2025-05-03,A100004,CARD,80.64,PAID
2025-05-18,A100004,WIRE,110.27,PAID
2025-06-02,A100004,CARD,64.82,PAID
2025-06-17,A100004,CARD,84.63,PAID
2025-07-02,A100004,CARD,103.6,PAID
2025-07-17,A100004,CARD,155.25,PAID
2025-08-01,A100004,WIRE,167.18,PAID
2025-08-16,A100004,CARD,158.73,PAID
2025-08-31,A100004,CARD,56.07,PAID
2025-09-15,A100004,INVOICE,52.0,PAID
2025-09-30,A100004,CARD,165.21,PAID
2025-05-03,A100005,INVOICE,78.36,PAID
2025-05-18,A100005,CARD,145.34,PAID
2025-06-02,A100005,CARD,141.41,PAID
2025-06-17,A100005,CARD,76.88,PAID
2025-07-02,A100005,INVOICE,185.58,PAID
2025-07-17,A100005,WIRE,211.13,PAID
2025-08-01,A100005,CARD,10.0,PAID
2025-08-16,A100005,INVOICE,235.64,PAID
2025-08-31,A100005,CARD,232.53,PAID
2025-09-15,A100005,CARD,149.12,PAID
2025-09-30,A100005,CARD,10.0,PAID
2025-05-03,A100006,INVOICE,38.63,PAID
2025-05-18,A100006,CARD,102.81,PAID
2025-06-02,A100006,CARD,74.85,PAID
2025-06-17,A100006,WIRE,96.31,PAID
2025-07-02,A100006,INVOICE,202.04,PAID
2025-07-17,A100006,CARD,108.98,PAID
2025-08-01,A100006,CARD,151.84,PAID
2025-08-16,A100006,INVOICE,126.0,PAID
2025-08-31,A100006,CARD,85.09,PAID
2025-09-15,A100006,CARD,239.9,PAID
2025-09-30,A100006,INVOICE,48.99,PAID
2025-05-03,A100007,INVOICE,124.26,PAID
2025-05-18,A100007,CARD,95.38,PAID
2025-06-02,A100007,CARD,64.63,PAID
2025-06-17,A100007,CARD,247.64,PAID
2025-07-02,A100007,INVOICE,84.74,PAID
2025-07-17,A100007,INVOICE,115.69,PAID
2025-08-01,A100007,CARD,128.17,PAID
2025-08-16,A100007,CARD,192.56,PAID
2025-08-31,A100007,INVOICE,169.1,PAID
2025-09-15,A100007,CARD,51.13,PAID
2025-09-30,A100007,INVOICE,79.36,PAID
2025-05-03,A100008,INVOICE,154.15,PAID
2025-05-18,A100008,CARD,126.49,PAID
2025-06-02,A100008,CARD,89.32,PAID
2025-06-17,A100008,CARD,167.18,PAID
2025-07-02,A100008,CARD,69.14,PAID
2025-07-17,A100008,CARD,67.14,PAID
2025-08-01,A100008,INVOICE,35.53,PAID
2025-08-16,A100008,CARD,142.84,PAID
2025-08-31,A100008,INVOICE,126.11,PAID
2025-09-15,A100008,CARD,172.8,PAID
2025-09-30,A100008,WIRE,65.65,PAID
2025-05-03,A100009,CARD,10.0,PAID
2025-05-18,A100009,CARD,131.42,PAID
2025-06-02,A100009,INVOICE,67.49,PAID
2025-06-17,A100009,INVOICE,114.89,PAID
2025-07-02,A100009,CARD,132.09,PAID
2025-07-17,A100009,CARD,87.11,PAID
